descricao,ISO,VERSAO,IDIOMA
"Rubber, vulcanized or thermoplastic — Determination of dynamic properties — Part 1: General guidance",ISO 4664-1,2022,en
"Ships and marine technology — Shipboard fire-fighters' outfits (protective clothing, gloves, boots and helmet)",ISO 22488,2011,en
Biological evaluation of medical devices — Part 16: Toxicokinetic study design for degradation products and leachables,ISO 10993-16,2017,en
Road vehicles — Electrical disturbances from conduction and coupling — Part 1: Definitions and general considerations,ISO/DIS 7637-1,,en
Road vehicles — Vehicle dynamics and road-holding ability — Vocabulary,ISO 8855,2011,en
Plastics pipes and fittings — Format of a technical file for characterizing PE spigot end fittings,ISO/TS 19911,2010,en
Graphic technology — Prepress digital data exchange using PDF — Part 8: Partial exchange of printing data using PDF 1.6 (PDF/X-5),ISO 15930-8,2010,en
Corrosion control engineering life cycle in fossil fuel power plants — General requirements,ISO 24239,2022,en
Rolling bearings — Ceramic bearing balls — Determination of strength by notched ball test,ISO 19843,2018,en
Coated abrasives — Flap wheels with shaft,ISO 3919,2005,en
Mining — Air quality control systems for operator enclosures — Performance requirements and test methods,ISO 23875,2021,en
Ergonomics — Evaluation of static working postures,ISO 11226,2000,en
Information technology — UPnP Device Architecture — Part 29-10: Multiscreen device control protocol — Level 2 — Application management service,ISO/IEC 29341-29-10,2017,en
Documentation — Presentation of title information of series,ISO 7275,1985,en
Information technology — Cloud computing — Interacting with cloud service partners (CSNs),ISO/IEC TR 23187,2020,en
Earth-moving machinery — Electrical safety of machines utilizing electric drives and related components and systems — Part 3: Particular requirements for self-powered machines,ISO 14990-3,2016,en
Intelligent transport systems — Low-speed automated driving system (LSADS) service — Part 1: Role and functional model,ISO/TS 5255-1,2022,en
Water quality — Determination of easily released sulfide,ISO 13358,1997,en
Aircraft — General purpose push-pull single-pole circuit-breakers — Dimensions,ISO 530,1975,en
Information technology — Object oriented BioAPI — Part 2: Java implementation,ISO/IEC 30106-2,2020,en
Small craft — Quick release system for trapeze harness,ISO 10862,2009,en
Ships and marine technology — Embarkation ladders,ISO/DIS 5489,,en
Plastics — Polyols for use in the production of polyurethanes — Determination of hydroxyl number by NIR spectroscopy,ISO 15063,2011,en
Microbiology of the food chain — Technical requirements and guidance on establishment or revision of a standardized reference method,ISO/DIS 17468,,en
Oil of patchouli (Pogostemon cablin (Blanco) Benth.),ISO 3757,2002,en
Adhesives — Determination of the time to rupture of bonded joints under static load,ISO 15109,1998,en
Adhesives — Wood adhesives — Determination of tensile strength of lap joints at elevated temperature (WATT '91),ISO/DIS 34257,,en
Equipment for distributing fertilizers — Test methods — Part 1: Full width fertilizer distributors,ISO 5690-1,1985,en
Control charts — Part 4: Cumulative sum charts,ISO 7870-4,2021,en
Security and resilience — Business continuity management systems — Guidelines for developing business continuity plans and procedures,ISO/TS 22332,2021,en
Information technology — Security techniques — Anonymous digital signatures — Part 2: Mechanisms using a group public key,ISO/IEC 20008-2,2013,en
Agricultural irrigation equipment — Centre-pivot and moving lateral irrigation machines with sprayer or sprinkler nozzles — Determination of uniformity of water distribution,ISO 11545,2009,en
Health Informatics — Messages and communication — Format of length limited globally unique string identifiers,ISO 18232,2006,en
Petroleum and natural gas industries — Design and operation of subsea production systems — Part 15: Subsea structures and manifolds,ISO 13628-15,2011,en
Safety of machinery — Integration of machinery into a system — Basic requirements,ISO/DIS 11161,,en
"Rubber, vulcanized — Determination of temperature rise and resistance to fatigue in flexometer testing — Part 4: Constant-stress flexometer",ISO 4666-4,2018,en
Road vehicles — Test dust for filter evaluation — Part 2: Aluminium oxide test dust,ISO 12103-2,1997,en
Buildings and constructed assets — Service life planning — Part 1: General principles and framework,ISO 15686-1,2011,en
Metallic materials — Sheet and strip — Erichsen cupping test,ISO 20482,2013,en
"Cranes — Tower cranes — International Standards for design, manufacture, use and maintenance requirements and recommendations",ISO/TR 27245,2007,en
Glass in building — Laminated glass and laminated safety glass — Part 2: Laminated safety glass,ISO 12543-2,2021,en
Thermal insulation products — Exterior insulating systems for foundations — Part 2: Principal responsibilities of installers,ISO 12575-2,2007,en
Specification and qualification of welding procedures for metallic materials — Welding procedure test — Part 2: Arc welding of aluminium and its alloys,ISO 15614-2,2005,en
Information technology — Online privacy notices and consent,ISO/IEC 29184,2020,en
Information technology — IT asset management — Part 1: IT asset management systems — Requirements,ISO/IEC 19770-1,2017,en
Methods for the calibration of vibration and shock transducers — Part 12: Primary vibration calibration by the reciprocity method,ISO 16063-12,2002,en
Sintered metal materials — Determination of the level of cleanliness of powder-metallurgy parts,ISO 28279,2010,en
Trailed agricultural vehicles — Brakes and braking devices — Laboratory test method,ISO 5696,1984,en
Information technology — Open Systems Interconnection — Security frameworks for open systems: Access control framework — Part 3,ISO/IEC 10181-3,1996,en
Information technology — Font services — Abstract service definition,ISO/IEC TR 15413,2001,en
Plastics — Polymer dispersions — Determination of white point temperature and minimum film-forming temperature,ISO 2115,1996,en
Use of UV-Vis absorption spectroscopy in the characterization of cadmium chalcogenide colloidal quantum dots,ISO/TS 17466,2015,en
Fertilizers — Determination of total nitrogen content — Titrimetric method after distillation,ISO 5315,1984,en
Health informatics — Categorial structure for terminological systems of surgical procedures,ISO 1828,2012,en
Financial services — Financial information eXchange session layer — Part 1: FIX tagvalue encoding,ISO 3531-1,2022,en
Laminate floor coverings — Determination of locking strength for mechanically assembled panels,ISO 24334,2019,en
"Safety colours and safety signs — Classification, performance and durability of safety signs",ISO 17398,2004,en
Textiles — Tests for colour fastness — Part E14: Colour fastness to acid-felting: Mild,ISO 105-E14,1994,en
Ships and marine technology — Ships' side scuttles,ISO 1751,2012,en
Measurement of radioactivity in the environment — Air: radon-222 — Part 7: Accumulation method for estimating surface exhalation rate,ISO 11665-7,2012,en
Optics and photonics — Optical coatings — Part 1: Vocabulary,ISO 9211-1,2018,en
Aircraft — Nickel-chromium and nickel-aluminium thermocouple extension cables — Part 4: Crimp-type butt connectors — Dimensions,ISO 8056-4,1987,en
Pumps — Shaft sealing systems for centrifugal and rotary pumps,ISO 21049,2004,en
Life cycle management of concrete structures,ISO 22040,2021,en
Indoor air — Part 44: Test method for measuring perceived indoor air quality for use in testing the performance of gas phase air cleaners,ISO/DIS 16000-44,,en
Fireworks — Test methods for determination of specific chemical substances — Part 6: Zirconium with a particle size of less than 40 µm by inductively coupled plasma optical emission spectrometry (ICP-OES),ISO 22863-6,2021,en
"Sustainable and traceable cocoa — Part 2: Requirements for performance (related to economic, social and environmental aspects)",ISO 34101-2,2019,en
Supply chain applications of RFID — Product tagging,ISO 17367,2013,en
Textile fabrics — Determination of resistance to surface wetting (spray test),ISO 4920,2012,en
Information technology — Generic cabling for customer premises — Mid-span DTE power insertion,ISO/IEC TR 24746,2005,en
Protective clothing — Gloves and arm guards protecting against cuts and stabs by hand knives — Part 1: Chain-mail gloves and arm guards,ISO 13999-1,1999,en
Timber structures — Laminated veneer lumber — Structural properties,ISO 22390,2020,en
Geometrical product specifications (GPS) — Dimensional measuring equipment — Part 2: Design and metrological characteristics of calliper depth gauges,ISO 13385-2,2020,en
In vitro diagnostic medical devices — Information supplied by the manufacturer (labelling) — Part 5: In vitro diagnostic instruments for self-testing,ISO 18113-5,2022,en
Quantitative methods in process improvement — Six Sigma — Competencies for key personnel and their organizations in relation to Six Sigma and Lean implementation,ISO 18404,2015,en
Geographic information — Encoding,ISO 19118,2011,en
Aerospace series — Pipe coupling 8°30' — Thread end — Geometric configuration,ISO 22436,2018,en
Fibre building boards — Determination of sand content,ISO 3340,1976,en
Information technology — Multimedia framework (MPEG-21) — Part 4: Intellectual Property Management and Protection Components,ISO/IEC 21000-4,2006,en
"Rubber, vulcanized — Determination of adhesion to wire cord",ISO 5603,2017,en
Aerospace — Metric series pipe coupling 8°30' up to 28 000 kPa dynamic beam seal — Technical specification,ISO 24568,2021,en
Safety devices for protection against excessive pressure — Part 9: Application and installation of safety devices excluding stand-alone bursting disc safety devices,ISO 4126-9,2008,en
Kinematic diagrams — Graphical symbols — Part 3,ISO 3952-3,1979,en
Healthcare organization management — Pandemic response (respiratory) — Walk-through screening station,ISO 5472,2022,en
Dentistry — Extraction forceps — Part 3: Design,ISO 9173-3,2014,en
Bases for design of structures - Serviceability of buildings and walkways against vibrations,ISO 10137,2007,en
Plastics — Determination of pourability,ISO 6186,1998,en
Quasi-static calibration procedure for belt force transducers,ISO/TS 17242,2014,en
Light and lighting — Commissioning of lighting systems in buildings,ISO/TS 21274,2020,en
Sustainability in buildings and civil engineering works — General principles,ISO 15392,2019,en
Cork stoppers — Determination of global migration,ISO 10106,2021,en
Plywood — Tolerances on dimensions,ISO 1954,2013,en
Bonded abrasive products — Dimensions — Part 4: Grinding wheels for surface grinding/peripheral grinding,ISO 603-4,1999,en
Construction drawings — Designation systems — Part 1: Buildings and parts of buildings,ISO 4157-1,1998,en
Plastics piping systems for renovation of underground water supply networks — Part 1: General,ISO 11298-1,2018,en
Hydrometry — Water level measuring devices,ISO 4373,2022,en
Technical product documentation — Parts lists,ISO 7573,2008,en
Designation system for fasteners,ISO 8991,1986,en
Technical Specification for C++ Extensions for Transactional Memory,ISO/IEC TS 19841,2015,en
"Geometrical product specifications (GPS) — General concepts — Part 2: Basic tenets, specifications, operators, uncertainties and ambiguities",ISO 17450-2,2012,en
Fine bubble technology — Evaluation method for determining surface tension of ultrafine bubble dispersions,ISO/DIS 7392,,en
Dentistry — Corrosion test methods for dental amalgam,ISO/TS 17988,2020,en
Interior air of road vehicles — Part 8: Handling and packaging of materials and components for emission testing,ISO 12219-8,2018,en
Information technology — Representation of data element values — Notation of the format,ISO/IEC 14957,2010,en
Traditional Chinese medicine — Gastrodia elata tuber,ISO 22212,2019,en
Micrographics — Methods of measuring image quality produced by aperture card scanners — Part 2: Quality criteria and control,ISO 11698-2,2000,en
Valve outlets for gas cylinders — List of provisions which are either standardized or in use,ISO/TR 7470,1988,en
Steel wire ropes — Determination of the actual modulus of elasticity,ISO 12076,2002,en
Resilient floor coverings — Determination of flexibility and deflection,ISO 24344,2008,en
"Sterilization of health care products — Dry heat — Requirements for the development, validation and routine control of a sterilization process for medical devices",ISO 20857,2010,en
Information technology — Artificial intelligence — Guidance on risk management,ISO/IEC 23894,2023,en
Water quality — Sampling — Part 23: Guidance on passive sampling in surface waters,ISO 5667-23,2011,en
"High-pressure decorative laminates (HPL, HPDL) — Sheets based on thermosetting resins (usually called laminates) — Part 2: Determination of properties",ISO 4586-2,2018,en
Geometrical product specifications (GPS) — Cylindricity — Part 1: Vocabulary and parameters of cylindrical form,ISO 12180-1,2011,en
Steel cord conveyor belts — Adhesion strength test of the cover to the core layer,ISO 8094,2013,en
Dentistry — Number coding system for rotary instruments — Part 7: Specific characteristics of mandrels and special instruments,ISO 6360-7,2006,en
Nuclear-grade plutonium dioxide powder for fabrication of light water reactor MOX fuel — Guidelines to help in the definition of a product specification,ISO 13463,1999,en
Imaging materials — Information stored on magneto-optical (MO) discs — Method for estimating the life expectancy based on the effects of temperature and relative humidity,ISO 18926,2012,en
Ergonomics of human-system interaction — Part 307: Analysis and compliance test methods for electronic visual displays,ISO 9241-307,2008,en
Information technology — Data centre facilities and infrastructures — Part 30: Earthquake risk and impact analysis,ISO/IEC TS 22237-30,2022,en
Dictation equipment — Basic operating requirements,ISO 1730,1980,en
Three-wheeled mopeds and motorcycles — Dimensions — Vocabulary,ISO 9131,1993,en
Textiles — Water resistance — Rain tests: exposure to a horizontal water spray,ISO 22958,2021,en
"Photography and imaging — Inkjet media: Classification, nomenclature and dimensions — Part 1: Photo-grade media (paper and film)",ISO 18055-1,2004,en
Road vehicles — Video communication interface for cameras (VCIC) — Part 4: Implementation of communication requirements,ISO 17215-4,2014,en
Microbiology of food and animal feeding stuffs — Horizontal method for the enumeration of mesophilic lactic acid bacteria — Colony-count technique at 30 degrees C,ISO 15214,1998,en
Information technology — Security techniques — Privacy architecture framework,ISO/IEC 29101,2018,en
Pneumatic fluid power — Identification of ports and control mechanisms of control valves and other components,ISO 11727,1999,en
Education and learning services — Vocabulary,ISO 29995,2021,en
Implants for surgery — Intramedullary nailing systems — Part 1: Intramedullary nails with cloverleaf or V-shaped cross-section,ISO 5837-1,1985,en
Soil quality — Determination of polycyclic aromatic hydrocarbons (PAH) by gas chromatography (GC) and high performance liquid chromatography (HPLC),ISO 13859,2014,en
Biorisk management for laboratories and other related organisations,ISO 35001,2019,en
Leather — Determination of ethoxylated alkylphenols — Part 1: Direct method,ISO 18218-1,2015,en
Information technology — Security techniques — Anonymous entity authentication — Part 2: Mechanisms based on signatures using a group public key,ISO/IEC 20009-2,2013,en
Information technology — Small Computer System Interface (SCSI) — Part 331: Stream Commands (SSC),ISO/IEC 14776-331,2002,en
Audit data collection,ISO 21378,2019,en
Systems and software engineering — System life cycle processes,ISO/IEC/IEEE 15288,2015,en
Fire safety engineering — Requirements governing algebraic formulae — Part 6: Flashover related phenomena,ISO 24678-6,2016,en
Hydraulic fluid power — Fire-resistant (FR) fluids — Requirements and guidelines for use,ISO 7745,2010,en
Photography — Photographic-grade chemicals — Test methods — Part 12: Determination of density,ISO 10349-12,1992,en
Space systems — Thermal control coatings for spacecraft — Atomic oxygen protective coatings on polyimide film,ISO 23129,2021,en
Metallic powders — Determination of envelope-specific surface area from measurements of the permeability to air of a powder bed under steady-state flow conditions,ISO 10070,2019,en
Prosthetics and orthotics — Vocabulary — Part 2: Terms relating to external limb prostheses,ISO/DIS 8549-2,,en
Infant formula and adult nutritionals — Determination of vitamin E and vitamin A by normal phase high performance liquid chromatography,ISO 20633,2015,en
Programming languages — Avoiding vulnerabilities in programming languages — Part 1: Language independent catalogue of vulnerabilities,ISO/IEC DIS 24772-1,,en
"Nuclear fuel technology — Sintered (U,Pu)O2 pellets — Guidance for ceramographic preparation for microstructure examination",ISO 22765,2016,en
Microbiology of the food chain — General requirements and guidance for microbiological examinations,ISO/DIS 7218,,en
Indoor air — Part 13: Determination of total (gas and particle-phase) polychlorinated dioxin-like biphenyls (PCBs) and polychlorinated dibenzo-p-dioxins/dibenzofurans (PCDDs/PCDFs) — Collection on sorbent-backed filters,ISO 16000-13,2008,en
Intelligent transport systems (ITS) — Data exchange involving roadside modules communication — Part 3: Application profile-data exchange (AP-DATEX),ISO 15784-3,2008,en
Acoustics — Determination of sound power levels of multisource industrial plants for evaluation of sound pressure levels in the environment — Engineering method,ISO 8297,1994,en
Security management systems for the supply chain — Requirements for bodies providing audit and certification of supply chain security management systems,ISO 28003,2007,en
Methods of test for full-flow lubricating oil filters for internal combustion engines — Part 6: Static burst pressure test,ISO 4548-6,2021,en
Glass-reinforced thermosetting plastics (GRP) pipes — Test method to prove the resistance to initial ring deflection,ISO 10466,2021,en
Information technology — Data centres key performance indicators — Part 6: Energy Reuse Factor (ERF),ISO/IEC 30134-6,2021,en
Preparation of steel substrates before application of paints and related products — Specifications for non-metallic blast-cleaning abrasives — Part 7: Fused aluminium oxide,ISO 11126-7,2018,en
"Reamers — Terms, definitions and types",ISO 5420,1983,en
Wool — Determination of percentage of medullated fibres by the projection microscope,ISO 2647,2020,en
PPE ensembles for firefighters undertaking specific rescue activities — Part 3: Clothing,ISO 18639-3,2018,en
"Information technology — Data interchange on 130 mm optical disk cartridges — Capacity: 1,3 gigabytes per cartridge",ISO/IEC 13549,1993,en
Paints and varnishes — Determination of resistance to humidity (intermittent condensation),ISO 11503,1995,en
Metallic powders — Determination of apparent density — Part 1: Funnel method,ISO 3923-1,2018,en
"Chain components for lifting purposes — Forged eye hook with point and latch — Grade 4, stainless steel, solution annealed",ISO 4779,2021,en
Thermal insulating materials for building applications — Determination of organic content,ISO 29771,2008,en
Conformity assessment — Requirements for bodies providing audit and certification of management systems — Part 13: Competence requirements for auditing and certification of compliance management systems,ISO/IEC TS 17021-13,2021,en
"Analysis of soaps — Determination of unsaponifiable, unsaponified and unsaponified saponifiable matter",ISO 1067,1974,en
Pulps — Basic guidelines for laboratory refining,ISO/TR 11371,2013,en
Steel — Measurement method for the evaluation of hydrogen embrittlement resistance of high-strength steels — Part 2: Slow strain rate test,ISO 16573-2,2022,en
Photography — Photographic-grade chemicals — Test methods — Part 2: Determination of matter insoluble in water,ISO 10349-2,1992,en
Compressed air — Part 5: Test methods for oil vapour and organic solvent content,ISO 8573-5,2001,en
Footwear — Performance requirements for components for footwear — Stiffeners and toepuffs,ISO/TR 22648,2007,en
Ships and marine technology — Marine electric window wipers,ISO 17899,2004,en
Traditional Chinese medicine — Categories of clinical terminological system to support the integration of clinical terms from traditional Chinese medicine and Western medicine,ISO/TS 22990,2019,en
Sodium chlorate for industrial use — Determination of chlorate content — Dichromate titrimetric method,ISO 3199,1975,en
Clothing — Standard method of garment measurement,ISO 18890,2018,en
Adhesives — Test method for shear impact strength of adhesive bonds,ISO 9653,1998,en
"Information technology — Individualized adaptability and accessibility in e-learning, education and training — Part 3: ""Access for all"" digital resource description",ISO/IEC 24751-3,2008,en
Microbiology of the food chain — Horizontal method for the determination of Vibrio spp. — Part 2: Enumeration of total and potentially enteropathogenic Vibrio parahaemolyticus in seafood using nucleic acid hybridization,ISO/TS 21872-2,2020,en
"Intelligent transport systems — Traffic and travel information (TTI) via transport protocol experts group, generation 2 (TPEG2) — Part 1: Introduction, numbering and versions (TPEG2-INV)",ISO 21219-1,2023,en
Textile machinery — Dyeing and finishing machines — Definition of left and right sides,ISO 1036,1984,en
"Aerospace — Nuts, anchor, self-locking, fixed, single lug, with counterbore, with MJ threads, classifications: 1 100 MPa (at ambient temperature )/235 degrees C, 1 100 MPa (at ambient temperature )/315 degrees C and 1 100 MPa (at ambient temperature)/425 degrees C — Dimensions",ISO 3168,1998,en
Microbiology of food and animal feeding stuffs — Horizontal method for the enumeration of coagulase-positive staphylococci (Staphylococcus aureus and other species) — Part 3: Detection and MPN technique for low numbers,ISO 6888-3,2003,en
Concentrated date juice — Specifications and test methods,ISO 24673,2021,en
Test conditions for machining centres — Part 4: Accuracy and repeatability of positioning of linear and rotary axes,ISO 10791-4,1998,en
Plastics pipes and fittings — Definition and construction procedures for reference lines,ISO/TS 26873,2010,en
Paper — Determination of transmittance by diffuse reflectance measurement,ISO 22891,2013,en
Hydrometry — Vocabulary and symbols,ISO 772,2022,en
Fire protection — Fire extinguishing media — Halogenated hydrocarbons — Part 1: Specifications for halon 1211 and halon 1301,ISO 7201-1,1989,en
Hand-held portable power tools — Test methods for evaluation of vibration emission — Part 7: Nibblers and shears,ISO 28927-7,2009,en
Imaging materials — Ammonia-processed diazo photographic film — Specifications for stability,ISO 18905,2002,en
Milk and milk products — Extraction methods for lipids and liposoluble compounds,ISO 14156,2001,en
Plain washers for tapping screw and washer assemblies — Normal and large series — Product grade A,ISO 10669,1999,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Determination of the abrasion resistance of coatings by a micro-scale abrasion test",ISO 26424,2008,en
Acceptance conditions for radial drilling machines with the arm adjustable in height — Testing of accuracy,ISO 2423,1982,en
Biotechnology — Biobanking — Requirements for animal biological material,ISO/TS 20388,2021,en
Lifecycle risk management for integrated CCS projects,ISO/TR 27918,2018,en
Intelligent transport systems — Framework for cooperative telematics applications for regulated vehicles (TARV) — Part 15: Vehicle location monitoring,ISO 15638-15,2014,en
Information technology — Telecommunications and information exchange between systems — X.25 DTE conformance testing — Part 1: General principles,ISO/IEC 8882-1,1996,en
Rubber — Identification of antidegradants by gas chromatography/mass spectrometry,ISO 10638,2017,en
Industrial automation systems and integration — Physical device control — Data model for computerized numerical controllers — Part 1: Overview and fundamental principles,ISO 14649-1,2003,en
Guidelines for the management of assets of water supply and wastewater systems — Part 3: Wastewater collection networks,ISO 24516-3,2017,en
Chemical analysis of steel — Order of listing elements in steel standards,ISO 6306,2020,en
Milk — Determination of casein-nitrogen content — Part 1: Indirect method (Reference method),ISO 17997-1,2004,en
Plastics pipes and fittings — Pressure reduction factors for polyethylene pipeline systems for use at temperatures above 20 degrees C,ISO 13761,2017,en
Foundry machinery — Safety requirements for molding and coremaking machinery and associated equipment,ISO 23062,2022,en
Medical laboratories — Requirements for quality and competence,ISO 15189,2022,en
Space data and information transfer systems — Space communications protocol specification (SCPS) — Transport protocol (SCPS-TP),ISO 15893,2010,en
Textiles — Test methods for determining the efficiency of products against house dust mite,ISO 21326,2019,en
"Aerospace — Nuts, metric — Tolerances of form and position",ISO 8788,2020,en
Road vehicles — Mechanical couplings between tractors and semi-trailers — Part 3: Requirements for semi-trailer contact area to fifth wheel,ISO 1726-3,2010,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Test method for determining thermal expansion coefficient and residual stress of CVD ceramic coatings",ISO 23458,2020,en
Corrosion of metals and alloys — Removal of corrosion products from corrosion test specimens,ISO 8407,2021,en
Rubber or plastics covered rollers — Enquiries and orders — Recommendations for technical information to be supplied by purchaser,ISO/TR 7621,1982,en
Hydrometry — Field measurement of discharge in large rivers and rivers in flood,ISO 9825,2005,en
Brown coals and lignites — Determination of yield of benzene-soluble extract — Semi-automatic method,ISO 975,2021,en
Information technology — Smart city ICT indicators,ISO/IEC 30146,2019,en
Metallic tube connections for fluid power and general use — Part 1: 24° cone connectors,ISO 8434-1,2018,en
Copper — Hydrogen embrittlement test,ISO 2626,1973,en
Seismic design examples based on ISO 23469,ISO/TR 12930,2014,en
Space systems — Programme management and quality — Vocabulary,ISO 10795,2019,en
Sharing economy — General principles,ISO 42500,2021,en
Ships and marine technology — Shipboard data servers to share field data at sea,ISO/DIS 19847,,en
Coated abrasives — Abrasive belts — Selection of width/length combinations,ISO 2976,2005,en
Fire safety engineering — Active fire protection systems — Part 1: General principles,ISO 20710-1,2022,en
Data quality — Part 2: Vocabulary,ISO 8000-2,2022,en
Dentistry — Portable dental equipment for use in non‐permanent healthcare environment — Part 1: General requirements,ISO 23402-1,2020,en
Air quality — Determination of ozone in ambient air — Ultraviolet photometric method,ISO 13964,1998,en
Essential oil of palmarosa [Cymbopogon martini (Roxb.) W. Watson var. motia],ISO 4727,2021,en
Imaging materials — Pictorial colour reflection prints — Comparison of image degradation observed between ISO 18930 accelerated weathering test method and outdoor exposure,ISO/TR 18945,2018,en
Adventure tourism — Leaders — Personnel competence,ISO 21102,2020,en
Nanotechnologies — Requirements and recommendations for the identification of measurands that characterise nano-objects and materials that contain them,ISO/TS 23302,2021,en
Industrial automation systems and integration — Numerical control systems for machine tools — Part 1: Requirements for numerical control systems,ISO 23218-1,2022,en
Anaesthetic and respiratory equipment — Oropharyngeal airways,ISO 5364,2016,en
Binders for paints and varnishes — Determination of turbidity,ISO 15715,2003,en
"Space systems — Fluid characteristics, sampling and test methods — Part 2: Hydrogen",ISO 15859-2,2004,en
Measurement and characterization of particles by acoustic methods — Part 1: Concepts and procedures in ultrasonic attenuation spectroscopy,ISO 20998-1,2006,en
Ophthalmic optics — Contact lenses — Hygienic management of multipatient use trial contact lenses,ISO 19979,2018,en
Shell reamers with taper bore (taper bore 1 : 30 (included)) with slot drive and arbors for shell reamers,ISO 2402,1972,en
Information technology — Portable Common Tool Environment (PCTE) — Part 2: C programming language binding,ISO/IEC 13719-2,1998,en
Microbeam analysis — Electron backscatter diffraction — Measurement of average grain size,ISO 13067,2020,en
Tractors and machinery for agriculture — Seat belts — Part 1: Anchorage location requirements,ISO 3776-1,2006,en
Intelligent transport systems (ITS) — Nomadic device service platform for micro-mobility — Part 1: General information and use case definitions,ISO/TR 22085-1,2019,en
Preparation of steel substrates before application of paints and related products — Surface preparation methods — Part 4: Acid pickling,ISO 8504-4,2022,en
Petroleum and natural gas industries — Specific requirements for offshore structures — Part 3: Topsides structure,ISO/DIS 19901-3,,en
Information technology — Multimedia Middleware — Part 5: Component download,ISO/IEC 23004-5,2008,en
Technical guidelines for the development of small hydropower plants — Part 2: Site selection planning,IWA 33-2,2019,en
Textile machinery and accessories — Dyeing and finishing machinery — Vocabulary for ancillary devices,ISO 5248,2003,en
Textiles — Standard data format for colorimetric communication — Textiles and related measurements,ISO 10617,2010,en
Respiratory protective devices — Human factors — Part 1: Metabolic rates and respiratory flow rates,ISO 16976-1,2022,en
Sustainable development in communities — Inventory of existing guidelines and approaches on sustainable development and resilience in cities,ISO/TR 37121,2017,en
Furniture — Children's high chairs — Part 2: Test methods,ISO 9221-2,2015,en
"Gas welding equipment — Pressure gauges used in welding, cutting and allied processes",ISO 5171,2019,en
Hardmetals — Sampling and testing of powders using sintered test pieces,ISO 4884,2019,en
Crop protection equipment — Test method for the determination of drainable volume and its concentration,ISO 16236,2013,en
Fluid power systems and components — Vocabulary,ISO 5598,2019,en
Industrial automation systems and integration — Standardized procedures for production systems engineering — Part 4: Key performance indicators (KPIs) in production planning processes,ISO 18828-4,2018,en
Surface Chemical Analysis — Measurement of lateral and axial resolutions of Raman microscope,ISO/DIS 23124,,en
Industrial automation systems and integration — Service interface for testing applications — Part 5: Application program service interface,ISO 20242-5,2020,en
Dried rosehips — Specification and test methods,ISO 23391,2006,en
Systems and software engineering — Systems and software assurance — Part 4: Assurance in the life cycle,ISO/IEC/IEEE 15026-4,2021,en
Agricultural vehicles — Mechanical connections between towed and towing vehicles — Part 2: Specifications for clevis coupling 40,ISO 6489-2,2002,en
Non-destructive testing — Eddy current testing — Vocabulary,ISO 12718,2019,en
Plastics — Determination of compressive properties,ISO 604,2002,en
Dentistry — Wires for use in orthodontics,ISO 15841,2014,en
Textiles — Physiological effects — Measurement of thermal and water-vapour resistance under steady-state conditions (sweating guarded-hotplate test),ISO 11092,2014,en
Plastics — Symbols and abbreviated terms — Part 1: Basic polymers and their special characteristics,ISO 1043-1,2011,en
Surface chemical analysis — Medium-resolution Auger electron spectrometers — Calibration of energy scales for elemental analysis,ISO 17973,2016,en
Nanotechnologies — Vocabulary — Part 6: Nano-object characterization,ISO/TS 80004-6,2021,en
Information technology — MPEG systems technologies — Part 18: Event message track format for the ISO base media file format,ISO/IEC 23001-18,2022,en
Textile machinery and accessories — Spinning machinery — Definition of side (left or right),ISO 92,1976,en
Information technology — JPEG XS low-latency lightweight image coding system — Part 5: Reference software,ISO/IEC 21122-5,2022,en
Information technology — Control network protocol — Part 2: Twisted pair communication,ISO/IEC 14908-2,2012,en
Coding for radio frequency identification (RFID) tyre tags,ISO 20910,2019,en
Gasoline engines with direct injection — Cleanliness assessment of fuel injection equipment,ISO 19724,2020,en
Plastics pipes and fittings — Crosslinked polyethylene (PE-X) pipe systems for the conveyance of gaseous fuels — Metric series — Specifications — Part 2: Fittings for heat-fusion jointing,ISO 14531-2,2004,en
Industrial automation systems and integration — Product data representation and exchange — Part 239: Application protocol: Product life cycle support,ISO 10303-239,2012,en
Steel wire and wire products — Part 1: General test methods,ISO 22034-1,2007,en
Thermal insulation — Heat transfer by radiation — Vocabulary,ISO 9288,2022,en
Measurement of radioactivity in the environment — Air: aerosol particles — Test method using sampling by filter media,ISO 20044,2022,en
Paints and varnishes — Wettability — Part 5: Determination of the polar and dispersive fractions of the surface tension of liquids from contact angles measurements on a solid with only a disperse contribution to its surface energy,ISO 19403-5,2017,en
Information and documentation — Conversion of Greek characters into Latin characters,ISO 843,1997,en
Environmental tobacco smoke — Estimation of its contribution to respirable suspended particles — Method based on solanesol,ISO 18144,2003,en
Zinc-coated steel for the reinforcement of concrete,ISO 14657,2005,en
Paper — Holes for general filing purposes — Specifications,ISO 838,1974,en
Anodizing of aluminium and its alloys — Assessment of resistance of anodic oxidation coatings to cracking by deformation,ISO 3211,2018,en
Equipment for crop protection — Knapsack sprayers — Part 3: Inspection of knapsack sprayers in use,ISO/DIS 19932-3,,en
Animal and vegetable fats and oils — Determination of aliphatic hydrocarbons in vegetable oils,ISO 17780,2015,en
Flexible cellular polymeric materials — Determination of compression set,ISO 1856,2018,en
Intelligent transport systems (ITS) — Location referencing for geographic databases — Part 3: Dynamic location references (dynamic profile),ISO 17572-3,2015,en
